Page,PageComplete,Type,Accession,Code,Catalog,Deaccession,Date,Temp#,Genus,Species
Page,PageComplete,Type,Accession,Code,Catalog,Deaccession,Date,Temp#,Genus,Species
2,True,SKINS,11121,E,120487,172,1997-05-01,,,
2,True,SKINS,11121,E,120543,172,1997-05-01,,,
2,True,SKINS,11192,E,120611,172,1997-05-01,,,
2,True,SKINS,11202,E,120622,172,1997-05-01,,,
2,True,SKINS,11202,E,120623,172,1997-05-01,,,
2,True,SKINS,11202,E,120624,172,1997-05-01,,,
2,True,SKINS,11202,E,120625,172,1997-05-01,,,
2,True,SKINS,11202,E,120626,172,1997-05-01,,,
2,True,SKINS,11202,E,120627,172,1997-05-01,,,
2,True,SKINS,11202,E,120629,172,1997-05-01,,,
2,True,SKINS,11202,E,120630,172,1997-05-01,,,
2,True,SKINS,11202,E,120631,172,1997-05-01,,,
2,True,SKINS,11202,E,120632,172,1997-05-01,,,
2,True,SKINS,11202,E,120633,172,1997-05-01,,,
2,True,SKINS,11202,E,120634,172,1997-05-01,,,
2,True,SKINS,11202,E,120635,172,1997-05-01,,,
2,True,SKINS,11202,E,120636,172,1997-05-01,,,
2,True,SKINS,11202,E,120637,172,1997-05-01,,,
2,True,SKINS,11202,E,120638,172,1997-05-01,,,
2,True,SKINS,11202,E,120640,172,1997-05-01,,,
2,True,SKINS,11202,E,120641,172,1997-05-01,,,
2,True,SKINS,11202,E,120642,172,1997-05-01,,,
2,True,SKINS,11202,E,120643,172,1997-05-01,,,
2,True,SKINS,11202,E,120644,172,1997-05-01,,,
2,True,SKINS,11202,E,120645,172,1997-05-01,,,
2,True,SKINS,11202,E,120646,172,1997-05-01,,,
2,True,SKINS,11202,E,120647,172,1997-05-01,,,
2,True,SKINS,11202,E,120648,172,1997-05-01,,,
2,True,SKINS,11202,E,120649,172,1997-05-01,,,
2,True,SKINS,11202,E,120650,172,1997-05-01,,,
2,True,SKINS,11202,E,120651,172,1997-05-01,,,
2,True,SKINS,11202,E,120652,172,1997-05-01,,,
2,True,SKINS,11202,E,120653,172,1997-05-01,,,
2,True,SKINS,11202,E,120654,172,1997-05-01,,,
2,True,SKINS,11202,E,120655,172,1997-05-01,,,
2,True,SKINS,11202,E,120656,172,1997-05-01,,,
2,True,SKINS,11202,E,120657,172,1997-05-01,,,
2,True,SKINS,11202,E,120658,172,1997-05-01,,,
2,True,SKINS,11202,E,120659,172,1997-05-01,,,
2,True,SKINS,11202,E,120660,172,1997-05-01,,,
2,True,SKINS,11202,E,120661,172,1997-05-01,,,
2,True,SKINS,11202,E,120662,172,1997-05-01,,,
2,True,SKINS,11202,E,120663,172,1997-05-01,,,
2,True,SKINS,11202,E,120664,172,1997-05-01,,,
2,True,SKINS,11202,E,120665,172,1997-05-01,,,
2,True,SKINS,11202,E,120666,172,1997-05-01,,,
2,True,SKINS,11202,E,120667,172,1997-05-01,,,
2,True,SKINS,11202,E,120668,172,1997-05-01,,,
2,True,SKINS,11202,E,120669,172,1997-05-01,,,
2,True,SKINS,11202,E,120670,172,1997-05-01,,,
2,True,SKINS,11202,E,120671,172,1997-05-01,,,
2,True,SKINS,11202,E,120672,172,1997-05-01,,,
2,True,SKINS,11202,E,120673,172,1997-05-01,,,
2,True,SKINS,11202,E,120674,172,1997-05-01,,,
2,True,SKINS,11202,E,120675,172,1997-05-01,,,
2,True,SKINS,11202,E,120676,172,1997-05-01,,,
2,True,SKINS,11202,E,120677,172,1997-05-01,,,
2,True,SKINS,11202,E,120678,172,1997-05-01,,,
2,True,SKINS,11202,E,120679,172,1997-05-01,,,
2,True,SKINS,11202,E,120680,172,1997-05-01,,,
2,True,SKINS,11202,E,120681,172,1997-05-01,,,
2,True,SKINS,11202,E,120682,172,1997-05-01,,,
2,True,SKINS,11202,E,120683,172,1997-05-01,,,
2,True,SKINS,11202,E,120684,172,1997-05-01,,,
2,True,SKINS,11202,E,120685,172,1997-05-01,,,
2,True,SKINS,11202,E,120686,172,1997-05-01,,,
2,True,SKINS,11311,D,120696,172,1997-05-01,,,
2,True,SKINS,11311,E,120698,172,1997-05-01,,,
3,True,SKINS,115,D,210,172,1997-05-01,,,
3,True,SKINS,115,D,211,172,1997-05-01,,,
3,True,SKINS,115,D,212,172,1997-05-01,,,
3,True,SKINS,115,D,213,172,1997-05-01,,,
3,True,SKINS,115,D,218,172,1997-05-01,,,
3,True,SKINS,115,D,219,172,1997-05-01,,,
3,True,SKINS,115,D,225,172,1997-05-01,,,
3,True,SKINS,115,D,227,172,1997-05-01,,,
3,True,SKINS,115,D,228,172,1997-05-01,,,
3,True,SKINS,115,D,229,172,1997-05-01,,,
3,True,SKINS,115,D,232,172,1997-05-01,,,
3,True,SKINS,115,E,214,172,1997-05-01,,,
3,True,SKINS,115,E,216,172,1997-05-01,,,
3,True,SKINS,115,G,220,172,1997-05-01,,,
3,True,SKINS,115,G,221,172,1997-05-01,,,
3,True,SKINS,115,G,233,172,1997-05-01,,,
3,True,SKINS,1134,E,4324,172,1997-05-01,,,
3,True,SKINS,1134,E,4325,172,1997-05-01,,,
3,True,SKINS,1134,E,4326,172,1997-05-01,,,
3,True,SKINS,1134,E,4327,172,1997-05-01,,,
3,True,SKINS,1134,E,4328,172,1997-05-01,,,
3,True,SKINS,1134,E,4329,172,1997-05-01,,,
3,True,SKINS,1134,E,4330,172,1997-05-01,,,
3,True,SKINS,1134,E,4333,172,1997-05-01,,,
3,True,SKINS,1134,E,4334,172,1997-05-01,,,
3,True,SKINS,1134,E,4335,172,1997-05-01,,,
3,True,SKINS,1134,E,4336,172,1997-05-01,,,
3,True,SKINS,1134,E,4337,172,1997-05-01,,,
3,True,SKINS,1134,E,4339,172,1997-05-01,,,
3,True,SKINS,1134,E,4346,172,1997-05-01,,,
