Accession,Code,Catalog,Section,Page
11202,E,120653,SPECIMENS FOR DEACCESSION,2
11202,E,120655,SPECIMENS FOR DEACCESSION,2
11202,E,120656,SPECIMENS FOR DEACCESSION,2
11202,E,120657,SPECIMENS FOR DEACCESSION,2
11202,E,120658,SPECIMENS FOR DEACCESSION,2
11202,E,120659,SPECIMENS FOR DEACCESSION,2
11202,E,120660,SPECIMENS FOR DEACCESSION,2
11202,E,120661,SPECIMENS FOR DEACCESSION,2
11202,E,120662,SPECIMENS FOR DEACCESSION,2
11202,E,120663,SPECIMENS FOR DEACCESSION,2
11202,E,120664,SPECIMENS FOR DEACCESSION,2
11202,E,120665,SPECIMENS FOR DEACCESSION,2
11202,E,120666,SPECIMENS FOR DEACCESSION,2
11202,E,120667,SPECIMENS FOR DEACCESSION,2
11202,E,120668,SPECIMENS FOR DEACCESSION,2
11202,E,120669,SPECIMENS FOR DEACCESSION,2
11202,E,120670,SPECIMENS FOR DEACCESSION,2
11202,E,120671,SPECIMENS FOR DEACCESSION,2
11202,E,120672,SPECIMENS FOR DEACCESSION,2
11202,E,120673,SPECIMENS FOR DEACCESSION,2
11202,E,120674,SPECIMENS FOR DEACCESSION,2
11202,E,120675,SPECIMENS FOR DEACCESSION,2
11202,E,120676,SPECIMENS FOR DEACCESSION,2
11202,E,120677,SPECIMENS FOR DEACCESSION,2
11202,E,120678,SPECIMENS FOR DEACCESSION,2
11202,E,120679,SPECIMENS FOR DEACCESSION,2
11202,E,120680,SPECIMENS FOR DEACCESSION,2
11202,E,120681,SPECIMENS FOR DEACCESSION,2
11202,E,120682,SPECIMENS FOR DEACCESSION,2
11202,E,120683,SPECIMENS FOR DEACCESSION,2
11202,E,120684,SPECIMENS FOR DEACCESSION,2
11202,E,120685,SPECIMENS FOR DEACCESSION,2
11202,E,120686,SPECIMENS FOR DEACCESSION,2
1123,E,2973,SPECIMENS FOR DEACCESSION,2
1123,E,3978,SPECIMENS FOR DEACCESSION,2
1123,E,3979,SPECIMENS FOR DEACCESSION,2
1123,E,3986,SPECIMENS FOR DEACCESSION,2
1123,E,3987,SPECIMENS FOR DEACCESSION,2
1123,E,3992,SPECIMENS FOR DEACCESSION,2
1123,E,3993,SPECIMENS FOR DEACCESSION,2
1123,E,4000,SPECIMENS FOR DEACCESSION,2
1123,E,4018,SPECIMENS FOR DEACCESSION,2
1123,E,4021,SPECIMENS FOR DEACCESSION,2
1123,E,4024,SPECIMENS FOR DEACCESSION,2
1123,E,4025,SPECIMENS FOR DEACCESSION,2
1127,E,4028,SPECIMENS FOR DEACCESSION,2
1127,E,4138,SPECIMENS FOR DEACCESSION,2
1129,E,4195,SPECIMENS FOR DEACCESSION,2
1129,E,4197,SPECIMENS FOR DEACCESSION,2
1129,E,4213,SPECIMENS FOR DEACCESSION,2
1129,E,4216,SPECIMENS FOR DEACCESSION,2
1129,E,4235,SPECIMENS FOR DEACCESSION,2
11311,D,120696,SPECIMENS FOR DEACCESSION,2
11311,E,120698,SPECIMENS FOR DEACCESSION,2
1134,D,4338,SPECIMENS FOR DEACCESSION,2
